Pattern,ErrorRate,CorruptionLevel,num_neurons,theta
9,0.0008777777777777776,0.1,100,0.2
10,0.0008799999999999999,0.0,100,0.2
10,0.0017200000000000002,0.1,100,0.2
11,0.002309090909090909,0.0,100,0.2
11,0.0045727272727272734,0.1,100,0.2
12,0.004583333333333333,0.0,100,0.2
12,0.006700000000000001,0.1,100,0.2
13,0.009523076923076924,0.0,100,0.2
13,0.015069230769230772,0.1,100,0.2
14,0.012328571428571432,0.0,100,0.2
14,0.01492142857142857,0.1,100,0.2
15,0.018693333333333333,0.0,100,0.2
15,0.024400000000000005,0.1,100,0.2
16,0.0301125,0.0,100,0.2
16,0.039012500000000006,0.1,100,0.2
17,0.03810588235294117,0.0,100,0.2
17,0.050811764705882355,0.1,100,0.2
18,0.04014444444444444,0.0,100,0.2
18,0.05621666666666667,0.1,100,0.2
19,0.057715789473684206,0.0,100,0.2
19,0.0781,0.1,100,0.2
20,0.06319,0.0,100,0.2
20,0.08381,0.1,100,0.2
21,0.07841904761904762,0.0,100,0.2
21,0.10121428571428571,0.1,100,0.2
22,0.09909090909090908,0.0,100,0.2
22,0.12262272727272729,0.1,100,0.2
23,0.1069913043478261,0.0,100,0.2
23,0.13594782608695655,0.1,100,0.2
24,0.1467166666666667,0.0,100,0.2
24,0.15682500000000002,0.1,100,0.2
25,0.135568,0.0,100,0.2
25,0.15898400000000001,0.1,100,0.2
26,0.15813846153846156,0.0,100,0.2
26,0.18158076923076927,0.1,100,0.2
27,0.1712296296296297,0.0,100,0.2
27,0.19499259259259258,0.1,100,0.2
28,0.19512857142857143,0.0,100,0.2
28,0.21,0.1,100,0.2
29,0.198,0.0,100,0.2
29,0.21928275862068966,0.1,100,0.2
30,0.2095466666666667,0.0,100,0.2
30,0.22713666666666665,0.1,100,0.2
31,0.21699354838709672,0.0,100,0.2
31,0.2330193548387097,0.1,100,0.2
32,0.23251249999999998,0.0,100,0.2
32,0.24671562499999997,0.1,100,0.2
33,0.24581212121212126,0.0,100,0.2
33,0.2562,0.1,100,0.2
34,0.24735294117647055,0.0,100,0.2
34,0.2586235294117647,0.1,100,0.2
35,0.2556742857142857,0.0,100,0.2
35,0.26299999999999996,0.1,100,0.2
36,0.25855,0.0,100,0.2
36,0.26804722222222227,0.1,100,0.2
37,0.26071891891891896,0.0,100,0.2
37,0.2693243243243243,0.1,100,0.2
38,0.27053684210526313,0.0,100,0.2
38,0.2762421052631579,0.1,100,0.2
39,0.2710666666666667,0.0,100,0.2
39,0.27638717948717956,0.1,100,0.2
40,0.263625,0.0,100,0.2
40,0.27545749999999997,0.1,100,0.2
41,0.27302439024390246,0.0,100,0.2
41,0.2835536585365854,0.1,100,0.2
42,0.2864,0.0,100,0.2
42,0.2902452380952381,0.1,100,0.2
43,0.2839069767441861,0.0,100,0.2
43,0.2914441860465116,0.1,100,0.2
44,0.2808090909090909,0.0,100,0.2
44,0.28842272727272733,0.1,100,0.2
