Pattern,ErrorRate,CorruptionLevel,num_neurons,theta
16,0.8085999999999999,0.4,100,0.0
16,0.8160583333333333,0.5,100,0.0
17,0.8280000000000001,0.0,100,0.0
17,0.8336470588235294,0.1,100,0.0
17,0.8263333333333333,0.2,100,0.0
17,0.8322735294117646,0.3,100,0.0
17,0.8326870588235294,0.4,100,0.0
17,0.8434647058823529,0.5,100,0.0
18,0.8091777777777779,0.0,100,0.0
18,0.8006222222222223,0.1,100,0.0
18,0.8246703703703704,0.2,100,0.0
18,0.8488222222222223,0.3,100,0.0
18,0.8648688888888888,0.4,100,0.0
18,0.868301851851852,0.5,100,0.0
19,0.7413263157894735,0.0,100,0.0
19,0.7552736842105263,0.1,100,0.0
19,0.7759719298245613,0.2,100,0.0
19,0.8163105263157894,0.3,100,0.0
19,0.83632,0.4,100,0.0
19,0.8382771929824562,0.5,100,0.0
20,0.90701,0.0,100,0.0
20,0.8871199999999999,0.1,100,0.0
20,0.8714133333333333,0.2,100,0.0
20,0.864845,0.3,100,0.0
20,0.865808,0.4,100,0.0
20,0.8737950000000001,0.5,100,0.0
21,0.8645904761904761,0.0,100,0.0
21,0.836342857142857,0.1,100,0.0
21,0.8493619047619048,0.2,100,0.0
21,0.8544047619047619,0.3,100,0.0
21,0.8563009523809524,0.4,100,0.0
21,0.8614238095238096,0.5,100,0.0
22,0.8154545454545454,0.0,100,0.0
22,0.8179000000000001,0.1,100,0.0
22,0.8337696969696969,0.2,100,0.0
22,0.8694704545454545,0.3,100,0.0
22,0.8565563636363636,0.4,100,0.0
22,0.8737439393939394,0.5,100,0.0
23,0.8162347826086958,0.0,100,0.0
23,0.8800173913043479,0.1,100,0.0
23,0.8829159420289856,0.2,100,0.0
23,0.8893304347826085,0.3,100,0.0
23,0.8975113043478261,0.4,100,0.0
23,0.8990826086956522,0.5,100,0.0
24,0.9439,0.0,100,0.0
24,0.9508958333333334,0.1,100,0.0
24,0.9449277777777777,0.2,100,0.0
24,0.9276104166666667,0.3,100,0.0
24,0.9282866666666666,0.4,100,0.0
24,0.927047222222222,0.5,100,0.0
25,0.9388080000000001,0.0,100,0.0
25,0.928244,0.1,100,0.0
25,0.9096293333333333,0.2,100,0.0
25,0.9170740000000001,0.3,100,0.0
25,0.9160576,0.4,100,0.0
25,0.9178906666666665,0.5,100,0.0
26,0.9231923076923075,0.0,100,0.0
26,0.9110384615384615,0.1,100,0.0
26,0.9077564102564103,0.2,100,0.0
26,0.9020884615384616,0.3,100,0.0
26,0.9147353846153845,0.4,100,0.0
26,0.918724358974359,0.5,100,0.0
27,0.8653851851851851,0.0,100,0.0
27,0.9326925925925926,0.1,100,0.0
27,0.9368049382716049,0.2,100,0.0
27,0.9247166666666666,0.3,100,0.0
27,0.9239644444444445,0.4,100,0.0
27,0.9296604938271605,0.5,100,0.0
28,0.9381714285714285,0.0,100,0.0
28,0.9261464285714286,0.1,100,0.0
28,0.9415238095238093,0.2,100,0.0
28,0.9499535714285714,0.3,100,0.0
28,0.95063,0.4,100,0.0
28,0.9555666666666666,0.5,100,0.0
29,0.9083517241379311,0.0,100,0.0
29,0.9328862068965518,0.1,100,0.0
29,0.9505034482758621,0.2,100,0.0
29,0.9439120689655173,0.3,100,0.0
29,0.9442082758620689,0.4,100,0.0
29,0.9466747126436782,0.5,100,0.0
30,0.9234600000000001,0.0,100,0.0
30,0.9248933333333333,0.1,100,0.0
30,0.9324577777777777,0.2,100,0.0
30,0.9398783333333334,0.3,100,0.0
30,0.9450426666666667,0.4,100,0.0
30,0.9509377777777779,0.5,100,0.0
31,0.9568903225806451,0.0,100,0.0
31,0.9502096774193548,0.1,100,0.0
31,0.9485591397849462,0.2,100,0.0
31,0.9517354838709677,0.3,100,0.0
